"Quadratic function"
"-"
"AdaGrad, lr 0.001 on Quadratic function from (2.0, 1.5)"   "AdaGrad, lr 0.005 on Quadratic function from (2.0, 1.5)"   "AdaGrad, lr 0.01 on Quadratic function from (2.0, 1.5)"   "AdaGrad, lr 0.05 on Quadratic function from (2.0, 1.5)"   "AdaGrad, lr 0.1 on Quadratic function from (2.0, 1.5)"   "AdaGrad, lr 0.5 on Quadratic function from (2.0, 1.5)"   "Adam, lr 0.001 on Quadratic function from (2.0, 1.5)"   "Adam, lr 0.005 on Quadratic function from (2.0, 1.5)"   "Adam, lr 0.01 on Quadratic function from (2.0, 1.5)"   "Adam, lr 0.05 on Quadratic function from (2.0, 1.5)"   "Adam, lr 0.1 on Quadratic function from (2.0, 1.5)"   "Adam, lr 0.5 on Quadratic function from (2.0, 1.5)"   "GD, lr 0.001 on Quadratic function from (2.0, 1.5)"   "GD, lr 0.005 on Quadratic function from (2.0, 1.5)"   "GD, lr 0.01 on Quadratic function from (2.0, 1.5)"   "GD, lr 0.05 on Quadratic function from (2.0, 1.5)"   "GD, lr 0.1 on Quadratic function from (2.0, 1.5)"   "GD, lr 0.5 on Quadratic function from (2.0, 1.5)"   "GDM, lr 0.001 on Quadratic function from (2.0, 1.5)"   "GDM, lr 0.005 on Quadratic function from (2.0, 1.5)"   "GDM, lr 0.01 on Quadratic function from (2.0, 1.5)"   "GDM, lr 0.05 on Quadratic function from (2.0, 1.5)"   "GDM, lr 0.1 on Quadratic function from (2.0, 1.5)"   "GDM, lr 0.5 on Quadratic function from (2.0, 1.5)"   "NAG, lr 0.001 on Quadratic function from (2.0, 1.5)"   "NAG, lr 0.005 on Quadratic function from (2.0, 1.5)"   "NAG, lr 0.01 on Quadratic function from (2.0, 1.5)"   "NAG, lr 0.05 on Quadratic function from (2.0, 1.5)"   "NAG, lr 0.1 on Quadratic function from (2.0, 1.5)"   "NAG, lr 0.5 on Quadratic function from (2.0, 1.5)"   
"5000"   "5000"   "5000"   "5000"   "2130"   "118"   "5000"   "5000"   "5000"   "999"   "367"   "359"   "5000"   "1902"   "947"   "182"   "86"   "5000"   "5000"   "1720"   "728"   "366"   "339"   "337"   "5000"   "1741"   "756"   "317"   "254"   "154"   
"label" "AdaGrad, lr 0.001"  "label" "AdaGrad, lr 0.005"  "label" "AdaGrad, lr 0.01"  "label" "AdaGrad, lr 0.05"  "label" "AdaGrad, lr 0.1"  "label" "AdaGrad, lr 0.5"  "label" "Adam, lr 0.001"  "label" "Adam, lr 0.005"  "label" "Adam, lr 0.01"  "label" "Adam, lr 0.05"  "label" "Adam, lr 0.1"  "label" "Adam, lr 0.5"  "label" "GD, lr 0.001"  "label" "GD, lr 0.005"  "label" "GD, lr 0.01"  "label" "GD, lr 0.05"  "label" "GD, lr 0.1"  "label" "GD, lr 0.5"  "label" "GDM, lr 0.001"  "label" "GDM, lr 0.005"  "label" "GDM, lr 0.01"  "label" "GDM, lr 0.05"  "label" "GDM, lr 0.1"  "label" "GDM, lr 0.5"  "label" "NAG, lr 0.001"  "label" "NAG, lr 0.005"  "label" "NAG, lr 0.01"  "label" "NAG, lr 0.05"  "label" "NAG, lr 0.1"  "label" "NAG, lr 0.5"  
"lr" "0.001"  "lr" "0.005"  "lr" "0.01"  "lr" "0.05"  "lr" "0.1"  "lr" "0.5"  "lr" "0.001"  "lr" "0.005"  "lr" "0.01"  "lr" "0.05"  "lr" "0.1"  "lr" "0.5"  "lr" "0.001"  "lr" "0.005"  "lr" "0.01"  "lr" "0.05"  "lr" "0.1"  "lr" "0.5"  "lr" "0.001"  "lr" "0.005"  "lr" "0.01"  "lr" "0.05"  "lr" "0.1"  "lr" "0.5"  "lr" "0.001"  "lr" "0.005"  "lr" "0.01"  "lr" "0.05"  "lr" "0.1"  "lr" "0.5"  
"mtm" "-"  "mtm" "-"  "mtm" "-"  "mtm" "-"  "mtm" "-"  "mtm" "-"  "mtm" "-"  "mtm" "-"  "mtm" "-"  "mtm" "-"  "mtm" "-"  "mtm" "-"  "mtm" "-"  "mtm" "-"  "mtm" "-"  "mtm" "-"  "mtm" "-"  "mtm" "-"  "mtm" "0.9"  "mtm" "0.9"  "mtm" "0.9"  "mtm" "0.9"  "mtm" "0.9"  "mtm" "0.9"  "mtm" "0.9"  "mtm" "0.9"  "mtm" "0.9"  "mtm" "0.9"  "mtm" "0.9"  "mtm" "0.9"  
"beta1" "-"  "beta1" "-"  "beta1" "-"  "beta1" "-"  "beta1" "-"  "beta1" "-"  "beta1" "0.9"  "beta1" "0.9"  "beta1" "0.9"  "beta1" "0.9"  "beta1" "0.9"  "beta1" "0.9"  "beta1" "-"  "beta1" "-"  "beta1" "-"  "beta1" "-"  "beta1" "-"  "beta1" "-"  "beta1" "-"  "beta1" "-"  "beta1" "-"  "beta1" "-"  "beta1" "-"  "beta1" "-"  "beta1" "-"  "beta1" "-"  "beta1" "-"  "beta1" "-"  "beta1" "-"  "beta1" "-"  
"beta2" "-"  "beta2" "-"  "beta2" "-"  "beta2" "-"  "beta2" "-"  "beta2" "-"  "beta2" "0.999"  "beta2" "0.999"  "beta2" "0.999"  "beta2" "0.999"  "beta2" "0.999"  "beta2" "0.999"  "beta2" "-"  "beta2" "-"  "beta2" "-"  "beta2" "-"  "beta2" "-"  "beta2" "-"  "beta2" "-"  "beta2" "-"  "beta2" "-"  "beta2" "-"  "beta2" "-"  "beta2" "-"  "beta2" "-"  "beta2" "-"  "beta2" "-"  "beta2" "-"  "beta2" "-"  "beta2" "-"  
x y err x y err x y err x y err x y err x y err x y err x y err x y err x y err x y err x y err x y err x y err x y err x y err x y err x y err x y err x y err x y err x y err x y err x y err x y err x y err x y err x y err x y err x y err 
            2.0 1.5 2.5 2.0 1.5 2.5          2.0 1.5 2.5 2.0 1.5 2.5 2.0 1.5 2.5    2.0 1.5 2.5 2.0 1.5 2.5 2.0 1.5 2.5 2.0 1.5 2.5       2.0 1.5 2.5 2.0 1.5 2.5 2.0 1.5 2.5 2.0 1.5 2.5 2.0 1.5 2.5    2.0 1.5 2.5 2.0 1.5 2.5 2.0 1.5 2.5 2.0 1.5 2.5 2.0 1.5 2.5 
            1.9029857499854668 1.4013606076167857 2.363295647444017 1.514928749927334 1.0068030380839281 1.818972642689115          1.9943856145118528 1.492026106866696 2.490725975081083 1.9887712290237058 1.4840522137333918 2.4814556160607513 1.9438561451185288 1.4202610686669592 2.4074297946328733    1.98 1.47 2.4660291969074493 1.96 1.44 2.4321184181696416 1.8 1.2 2.1633307652783933 1.6 0.8999999999999999 1.835755975068582       1.998 1.497 2.4966002883921967 1.996 1.494 2.4932011551417186 1.98 1.47 2.4660291969074493 1.96 1.44 2.4321184181696416 1.8 1.2000000000000002 2.1633307652783937    1.998 1.497 2.4966002883921967 1.996 1.494 2.4932011551417186 1.98 1.47 2.4660291969074493 1.96 1.44 2.4321184181696416 1.8 1.2000000000000002 2.1633307652783937 
            1.8351574717689416 1.333594079489235 2.2685405253241817 1.2188501053029075 0.7307811943946219 1.4211392378221561          1.9856730398778908 1.4798359682528235 2.476451476252397 1.9713703645417584 1.4597337392046539 2.452982613792015 1.857824637863131 1.301152163794016 2.2681510836796397    1.9602 1.4405999999999999 2.432634867792534 1.9208 1.3823999999999999 2.3665380622335235 1.62 0.96 1.883082579177026 1.28 0.5399999999999999 1.3892443989449805       1.994202 1.491306 2.4901476266358187 1.988408 1.482624 2.4803105248819146 1.9422 1.4136 2.402166896782986 1.8848 1.3284 2.305887594831977 1.4400000000000002 0.6900000000000002 1.5967780058605519    1.994204 1.4913120000000002 2.4901528216075417 1.988416 1.482648 2.4803312845182597 1.9424 1.4142 2.4026817100897904 1.8856 1.3308 2.307924608820661 1.46 0.7500000000000002 1.6413713778423213 
            1.780417262474074 1.2793971970252422 2.192428520219467 1.0037967715862328 0.5448069388034079 1.142113198949773          1.9751734746063074 1.4649328894181561 2.4591337143976904 1.950442952629389 1.4301126458766782 2.418563600850315 1.7560475239602686 1.160435946668859 2.1048312266612355    1.940598 1.4117879999999998 2.3998053993080353 1.882384 1.3271039999999998 2.3031662011830583 1.4580000000000002 0.768 1.6479041234246612 1.024 0.32399999999999995 1.0740353811676782       1.988789598 1.483198788 2.480960037936458 1.977598384 1.466455104 2.461988208835912 1.888758 1.334568 2.312677783260781 1.7794240000000001 1.174824 2.132266681902618 0.9720000000000002 0.0930000000000002 0.9764389381830286    1.988797192 1.4832215520000003 2.4809797345452815 1.977628736 1.466546016 2.462066740463879 1.8895119999999999 1.336812 2.3145889314277817 1.782416 1.183656 2.13963742802186 1.042 0.2850000000000002 1.08027265076924 
            1.7335138735960423 1.2332658786519903 2.1274433194323232 0.8368513469198041 0.4112020965627198 0.9324201526452904          1.9631707617646816 1.4476359194461443 2.439198473908674 1.9265800616548843 1.3958943668786976 2.379124170246231 1.6423825996070278 1.0042040692953962 1.9250575098633733    1.9211920200000001 1.3835522399999998 2.3675294250591055 1.84473632 1.2740198399999998 2.241914057906941 1.3122000000000003 0.6144000000000001 1.4489155254879427 0.8192 0.19439999999999996 0.8419501172872417       1.981929646602 1.4729358996239998 2.469328914600299 1.963914532832 1.446037277184 2.438848929161962 1.82177262 1.23674784 2.201908421966347 1.6489971200000002 0.98961264 1.923154876502687 0.4536000000000002 -0.46289999999999987 0.6480967288916062    1.981947674416 1.4729898865920004 2.4693755870918674 1.963986515456 1.4462524542719999 2.439034479949142 1.8235465599999998 1.24197432 2.2063141816222127 1.65596576 1.00976592 1.9395488680324153 0.6034 -0.09749999999999986 0.6112264801200943 
            1.6919729035268867 1.1926340916390472 2.0700599949781404 0.7027690140881825 0.3123519574915645 0.7690565860268593          1.9496859292182618 1.4280281038126224 2.4167208129757873 1.8998504225401414 1.3573218724561356 2.3348992041357555 1.5181782142035856 0.8364765300508203 1.7333661111860499    1.9019800998 1.3558811951999998 2.335795820599951 1.8078415936 1.2230590463999997 2.1826966483071035 1.1809800000000001 0.49152000000000007 1.2791816410502461 0.65536 0.11663999999999997 0.6656587858655515       1.973773760697198 1.460753428286352 2.4555210112452897 1.947671237715136 1.421877083940864 2.4114638069145857 1.7432680517999999 1.1239747392000001 2.074199294857241 1.4986329856000002 0.7833379104000001 1.6910112676733438 -0.058319999999999705 -0.87063 0.8725811247672046    1.973808010433568 1.4608558712824324 2.455609484163163 1.9478078283765758 1.422284413146624 2.411814314611494 1.7466018527999998 1.1336776752 2.082268739488558 1.5115702336 0.8198298144 1.719582942368497 0.19218000000000007 -0.34574999999999995 0.3955707457585811 
            1.654398441268953 1.1560628897167764 2.018295223066597 0.5929206758948378 0.23809734869834542 0.6389407447962391          1.9347395864117516 1.4062156315179974 2.3917900554928053 1.8703250763055466 1.3146922760624158 2.286160902429119 1.3848805767346046 0.6616603205714877 1.5348252642029108    1.882960298802 1.3287635712959998 2.3045936985221096 1.771684761728 1.1741366845439998 2.125432626297803 1.062882 0.39321600000000007 1.1332859165188633 0.5242880000000001 0.06998399999999998 0.5289382451666735       1.9644596896221789 1.446867697225896 2.439780319091503 1.9291569296345281 1.3944454016862782 2.380362249205134 1.655181259902 0.9999994536960002 1.9338107225173489 1.3333326049280003 0.5663571373440002 1.448632542222001 -0.5132159999999997 -1.0634610000000002 1.1808217313282305    1.964516644502928 1.4470378137918756 2.4399270647034954 1.9293837517224999 1.3951199106457006 2.3809412480132424 1.6606550448639998 1.015703074272 1.94664529720179 1.354270765696 0.623691571008 1.490986412602495 -0.15601399999999993 -0.4503750000000001 0.4766319427199566 
            1.6199122834902864 1.122650449938726 1.9709033053273664 0.5017946863794677 0.18185432986016348 0.5337311163568763          1.91839661512018 1.3823608136841123 2.3645648631648837 1.8381657145956696 1.2684198840196437 2.2333253673594933 1.244422966029024 0.48468231420479935 1.3354794884547623    1.86413069581398 1.3021882998700798 2.273912403632656 1.73625106649344 1.12717121716224 2.07004413448086 0.9565938 0.31457280000000004 1.0069894461702567 0.4194304000000001 0.04199039999999998 0.4215270503020181       1.9541125659650396 1.431476803877034 2.4223298207511874 1.908635738502712 1.3641791060504058 2.3460338905638762 1.55935133459478 0.8684217076684801 1.7848621367075836 1.1578956102246403 0.34842015609984023 1.2091810655787367 -0.8713007999999998 -1.0243167000000004 1.3447638402260564    1.9541991898867799 1.4317351225377717 2.422552359570871 1.9089801633836947 1.3652000367622905 2.3469078389592117 1.5675558353523198 0.8915713639699199 1.8033665168229926 1.18876181862656 0.43006501885056003 1.264163985352873 -0.4189678 -0.43353750000000013 0.6029003079640034 
            1.5879197139918473 1.091787652725261 1.9270415918519468 0.4255751725373868 0.13905462659272746 0.44771689342381243          1.9007570380576062 1.3566646612382538 2.335255086875571 1.803605418260809 1.2189986504825097 2.1769130011688405 1.0990786812000455 0.3106231951094073 1.142129903648621    1.8454893888558404 1.2761445338726782 2.243741508220726 1.7015260451635712 1.0820843684757504 2.0164566603003267 0.86093442 0.25165824000000003 0.8969615071454482 0.33554432000000006 0.02519423999999999 0.3364888414397126       1.9428460421076492 1.414762046255304 2.4033731276807297 1.886349395007072 1.331482723553919 2.3089305496627888 1.4575108884723342 0.7326333020903426 1.6312846303901758 0.9768444027871235 0.1383400667361026 0.9865915879030599 -1.10644704 -0.7842234900000005 1.3561827069361054    1.9429695989969757 1.415129835546511 2.403689521148762 1.8868397807286803 1.3329310296157058 2.3101665498081823 1.4690219805334015 0.7645040316246912 1.6560470988654532 1.0193387088329215 0.24634358324113922 1.0486832526217111 -0.5874340600000001 -0.3350437500000002 0.6762640676999971 
            1.5579959736244011 1.063040257040378 1.886108703632513 0.3614664834613495 0.1063977796951531 0.3768003532243201          1.8819398679603707 1.329345688510341 2.3040958370214835 1.766915566050309 1.1669575147553044 2.117493909978199 0.9512538055696539 0.14433726401792968 0.9621419065787179    1.8270344949672819 1.2506216431952246 2.2140708074107915 1.6674955242602998 1.0388009937367204 1.9645988974893909 0.774840978 0.20132659200000003 0.8005691337007259 0.26843545600000007 0.015116543999999992 0.2688607519524408       1.9307633245938902 1.3968892403032365 2.3830960042079306 1.862518987070982 1.2967300484128652 2.2694681746296306 1.3512793780774097 0.5957710710282119 1.4767867573523856 0.7943614280376159 -0.056265616360705345 0.7963516170250491 -1.2074339520000001 -0.4112949030000005 1.275562717264862    1.930931227188045 1.3973880281572657 2.3835244293623634 1.86318403754302 1.298686275093903 2.2711320522753375 1.36663662993923 0.637394698528396 1.5079680633235442 0.8498595980378614 0.07848940528739176 0.8534763752556035 -0.6634636620000002 -0.1990893750000002 0.6926908473715682 
